"address","city","state"
"2335 Bent Creek Road","Auburn","Alabama"
"5940 Trussville Crossing Pkwy.","Birmingham","Alabama"
"29683 Frederick Blvd.","Daphne","Alabama"
"3440 Ross Clark Cit.","Dothan","Alabama"
"364 Cox Creek Pkwy.","Florence","Alabama"
"201 Lakeshore Pkwy.","Homewood","Alabama"
"3053 John Hawkins Pkwy.","Hoover","Alabama"
"5651 Holmes Ave.","Huntsville","Alabama"
"2235 National Blvd.","Huntsville","Alabama"
"601 E. I-65 Service Rd. S","Mobile","Alabama"
"1080 Eastern Blvd.","Montgomery","Alabama"
"1900 Oxford Exchange Blvd.","Oxford","Alabama"
"1401 Skyland Blvd. E","Tuscaloosa","Alabama"
"1459 N Dysart Rd.","Avondale","Arizona"
"600 Highway 95","Bullhead City","Arizona"
"700 N 54th St.","Chandler","Arizona"
"1851 E Butler Ave.","Flagstaff","Arizona"
"2621 S Market Street","Gilbert","Arizona"
"1225 N Gilbert Rd.","Gilbert","Arizona"
"18501 N 83rd Ave.","Glendale","Arizona"
"8340 W McDowell Rd.","Phoenix","Arizona"
"1525 W Bell Rd.","Phoenix","Arizona"
"16573 West Bell Road","Surprise","Arizona"
"4701 N Stone Ave.","Tucson","Arizona"
"1462 S Pacific Ave.","Yuma","Arizona"
"3500 SE Club Blvd.","Arkansas","Arkansas"
"1250 S Amity Rd.","Conway","Arkansas"
"3081 N Highway 112","Fayetteville","Arkansas"
"7700 Rogers Ave.","Ft. Smith","Arkansas"
"1368 Higdon Ferry Rd.","Hot Springs","Arkansas"
"2405 S Caraway Rd.","Jonesboro","Arkansas"
"900 S Bowman Rd.","Little Rock","Arkansas"
"5600 Landers Rd.","N. Little Rock","Arkansas"
"1517 Gene George Blvd.","Springdale","Arkansas"
"5625 Gosford Rd.","Bakersfield","California"
"3951 Grand Ave.","Chino","California"
"7147 Greenback Ln.","Citrus Heights","California"
"1225 Concord Ave.","Concord","California"
"1375 E Ontario Ave.","Corona","California"
"4901 N Santa Anita Blvd.","El Monte","California"
"2495 Iron Point Rd. #11","Folsom","California"
"17099 Brookhurst St.","Fountain Valley","California"
"7663 N Blackstone Ave.","Fresno","California"
"603 S Placentia Ave.","Fullerton","California"
"1399 Artesia Blvd.","Gardena","California"
"1301 Lone Hill Ave.","Glendora","California"
"1390 S Beach Blvd.","La Habra","California"
"7480 Carson St.","Long Beach","California"
"40500 Murrieta Hot Springs Rd.","Murrieta","California"
"951 N Milliken Ave.","Ontario","California"
"2401 N Rose Ave.","Oxnard","California"
"34220 Monterey Ave.","Palm Desert","California"
"39940 10th St. W","Palmdale","California"
"6363 Valley Springs Pkwy.","Riverside","California"
"904 Pleasant Grove Blvd.","Roseville","California"
"8250 Power Inn Rd.","Sacramento","California"
"1055 Harriman Pl.","San Bernardino","California"
"6336 College Grove Way","San Diego","California"
"26468 Carl Boyer Dr.","Santa Clarita","California"
"5871 Firestone Blvd.","South Gate","California"
"2601 Skypark Dr.","Torrance","California"
"1500 Helen Power Dr.","Vacaville","California"
"900 N Walton Ave.","Yuba City","California"
"7370 W 52nd Ave.","Arvada","Colorado"
